序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
1,000333,美的集团,稳步推进ToB业务与全球化，迈向技术驱动的全球工业科技集团,买入,交银国际证券,5,,,,,,,白色家电,2026-05-12,https://pdf.dfcfw.com/pdf/H3_AP202605121822200727_1.pdf
2,000333,美的集团,公司信息更新报告：高基数下增长凸显龙头韧性，全额注销回购提高股息,买入,开源证券,5,6.23,12.8,6.73,11.9,7.27,11.0,白色家电,2026-05-07,https://pdf.dfcfw.com/pdf/H3_AP202605071822033318_1.pdf
3,000333,美的集团,1Q26业绩符合预期，全年稳健增长可期；维持买入,买入,交银国际证券,5,6.382,12.7,6.978,11.6,7.548,10.7,白色家电,2026-05-06,https://pdf.dfcfw.com/pdf/H3_AP202605051821974409_1.pdf
4,000333,美的集团,美的集团：2026Q1收入业绩增速回正，楼宇和机器人业务双位数增长,买入,太平洋,5,6.21,13.1,6.67,12.19,7.19,11.31,白色家电,2026-05-05,https://pdf.dfcfw.com/pdf/H3_AP202605051821967742_1.pdf
5,000333,美的集团,经营韧性突出，保持稳健增长,买入,国金证券,5,6.194,13.13,6.777,12.0,7.365,11.04,白色家电,2026-04-30,https://pdf.dfcfw.com/pdf/H3_AP202604301821807212_1.pdf
6,000333,美的集团,2025年报点评：海外与2B保持快速增长，展现较强经营韧性,买入,西南证券,5,6.14,12.6,6.63,11.67,7.08,10.94,白色家电,2026-04-13,https://pdf.dfcfw.com/pdf/H3_AP202604131821158005_1.pdf
7,000333,美的集团,2025年报点评：双轮驱动增长韧性强，股东回报稳步提升,增持,国信证券,5,6.18,12.3,6.73,11.4,7.27,10.5,白色家电,2026-04-08,https://pdf.dfcfw.com/pdf/H3_AP202604081821065709_1.pdf
8,000333,美的集团,美的集团：2025Q4受并购影响业绩短期承压，楼宇科技业务快速扩张,买入,太平洋,5,6.21,12.29,6.67,11.44,7.19,10.61,白色家电,2026-04-02,https://pdf.dfcfw.com/pdf/H3_AP202604021820970620_1.pdf
9,000333,美的集团,2025年业绩符合预期，2026年增长韧性可期；维持买入,买入,交银国际证券,5,6.382,12.0,6.978,10.9,7.548,10.1,白色家电,2026-04-02,https://pdf.dfcfw.com/pdf/H3_AP202604011820964558_1.pdf
10,000333,美的集团,公司信息更新报告：白马与成长兼具，业绩稳定扎实+重视股东回报，海外+2B业务较快增长,买入,开源证券,5,6.23,11.6,6.73,10.7,7.26,9.9,白色家电,2026-04-01,https://pdf.dfcfw.com/pdf/H3_AP202604011820948643_1.pdf
11,000333,美的集团,注重股东回报，龙头韧性凸现,买入,国金证券,5,6.32,11.41,6.97,10.34,7.707,9.36,白色家电,2026-03-31,https://pdf.dfcfw.com/pdf/H3_AP202603311820911473_1.pdf
12,000333,美的集团,首次覆盖报告：高端化提速，B端业务亮眼,买入,爱建证券,5,6.28,11.92,6.88,10.86,,,白色家电,2026-03-30,https://pdf.dfcfw.com/pdf/H3_AP202603301820863442_1.pdf
13,000333,美的集团,公司深度报告：美的集团ToB业务拆分报告（1）：智能建筑科技——内销抢外资份额+液冷需求旺盛，外销空间广阔,买入,开源证券,5,6.28,12.3,6.99,11.0,,,白色家电,2026-01-19,https://pdf.dfcfw.com/pdf/H3_AP202601191818096885_1.pdf
14,000333,美的集团,2025年三季报点评：经营业绩韧性增长，B端和OBM持续释放动能,增持,国信证券,5,6.43,11.9,7.03,10.9,,,白色家电,2025-11-04,https://pdf.dfcfw.com/pdf/H3_AP202511041774868842_1.pdf
15,000333,美的集团,公司信息更新报告：整体稳健增长，ToB业务延续高增,买入,开源证券,5,6.32,12.1,7.02,10.9,,,白色家电,2025-11-01,https://pdf.dfcfw.com/pdf/H3_AP202511011773273764_1.pdf
16,000333,美的集团,美的集团：Q3业绩高个位数增长，看好OBM+机器人战略赋能,买入,太平洋,5,6.39,11.78,6.9,10.91,,,白色家电,2025-10-31,https://pdf.dfcfw.com/pdf/H3_AP202510311772657607_1.pdf
17,000333,美的集团,业绩稳健，B端延续较好增长,买入,国金证券,5,6.338,11.74,6.934,10.73,,,白色家电,2025-10-31,https://pdf.dfcfw.com/pdf/H3_AP202510311772362212_1.pdf
18,000333,美的集团,3季度业绩增长超预期，海外市场订单回暖；维持买入,买入,交银国际证券,5,6.415,11.7,6.865,11.0,,,白色家电,2025-10-30,https://pdf.dfcfw.com/pdf/H3_AP202510301772050377_1.pdf
19,000333,美的集团,2025年三季报点评：业绩保持稳定增长,增持,东莞证券,5,6.34,11.7,6.93,10.7,,,白色家电,2025-10-30,https://pdf.dfcfw.com/pdf/H3_AP202510301771942997_1.pdf
20,000333,美的集团,2025年半年报点评：经营稳健，首次中期分红,买入,西南证券,5,6.43,11.46,7.06,10.45,,,白色家电,2025-09-05,https://pdf.dfcfw.com/pdf/H3_AP202509051739268593_1.pdf
21,000333,美的集团,大超预期，持续变革创新,买入,山西证券,5,6.86,11.1,7.73,9.9,,,白色家电,2025-09-03,https://pdf.dfcfw.com/pdf/H3_AP202509031738338909_1.pdf
22,000333,美的集团,2025上半年业绩稳健增长，经营韧性凸显，维持买入,买入,交银国际证券,5,6.41,11.5,6.875,10.7,,,白色家电,2025-09-02,https://pdf.dfcfw.com/pdf/H3_AP202509021738058117_1.pdf
23,000333,美的集团,2025年中报点评：二季度收入增长超10%，盈利能力稳步提升,增持,国信证券,5,6.36,11.6,6.95,10.6,,,白色家电,2025-09-02,https://pdf.dfcfw.com/pdf/H3_AP202509021738050890_1.pdf
