序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
24,000333,美的集团,公司信息更新报告：2025Q2延续高质量增长，ToB业务高增前景广阔,买入,开源证券,5,6.21,11.9,6.88,10.7,,,白色家电,2025-09-01,https://pdf.dfcfw.com/pdf/H3_AP202509011737770015_1.pdf
25,000333,美的集团,2025年中报点评：业绩稳步增长,增持,东莞证券,5,6.17,11.9,6.73,10.9,,,白色家电,2025-09-01,https://pdf.dfcfw.com/pdf/H3_AP202509011737749109_1.pdf
26,000333,美的集团,美的集团25Q2点评：经营稳健，激励积极,买入,华安证券,5,6.14,12.01,6.54,11.26,,,白色家电,2025-08-31,https://pdf.dfcfw.com/pdf/H3_AP202508311737319346_1.pdf
27,000333,美的集团,美的集团：2025Q2业绩持续优秀，H1海外OBM+ToB业务深化,买入,太平洋,5,6.48,11.37,7.17,10.28,,,白色家电,2025-08-31,https://pdf.dfcfw.com/pdf/H3_AP202508311737252857_1.pdf
28,000333,美的集团,业绩稳健兑现，B端业务高增,买入,国金证券,5,6.235,11.82,6.87,10.73,,,白色家电,2025-08-30,https://pdf.dfcfw.com/pdf/H3_AP202508301736875869_1.pdf
29,000333,美的集团,历久弥新 行稳致远,买入,国金证券,5,6.183,11.63,6.813,10.56,,,白色家电,2025-08-26,https://pdf.dfcfw.com/pdf/H3_AP202508261734563273_1.pdf
30,000333,美的集团,美的集团：2025Q1业绩超预期高增，收购Teka全球布局加速,买入,太平洋,5,6.2,11.87,6.73,10.94,,,白色家电,2025-05-07,https://pdf.dfcfw.com/pdf/H3_AP202505071668927483_1.pdf
31,000333,美的集团,2025年一季报点评：营收利润双高增，拟分拆安得智联H股上市,买入,西南证券,5,6.28,11.81,6.96,10.67,,,白色家电,2025-05-07,https://pdf.dfcfw.com/pdf/H3_AP202505071668893675_1.pdf
32,000333,美的集团,美的集团25Q1点评：超市场预期,买入,华安证券,5,6.15,11.97,6.55,11.24,,,白色家电,2025-05-05,https://pdf.dfcfw.com/pdf/H3_AP202505041666868554_1.pdf
33,000333,美的集团,公司信息更新报告：2025Q1业绩超预期，B端及C端外销快速增长,买入,开源证券,5,6.13,12.0,6.66,11.1,,,白色家电,2025-05-02,https://pdf.dfcfw.com/pdf/H3_AP202505021666367031_1.pdf
34,000333,美的集团,2025年一季报点评：持续拓展全球，推动数智驱动,增持,东莞证券,5,,,,,,,白色家电,2025-04-30,https://pdf.dfcfw.com/pdf/H3_AP202504301665070260_1.pdf
35,000333,美的集团,业绩稳步增长，分红持续提升,买入,中邮证券,5,6.12,12.41,6.67,11.38,,,白色家电,2025-04-03,https://pdf.dfcfw.com/pdf/H3_AP202504031650869187_1.pdf
36,000333,美的集团,2024年业绩符合预期；B端业务加速及政策支持，2025年业绩预期正面,买入,交银国际证券,5,,,,,,,白色家电,2025-04-03,https://pdf.dfcfw.com/pdf/H3_AP202504031650669712_1.pdf
37,000333,美的集团,2024年报点评：海外OBM业务快速增长，分红比例达新高,买入,西南证券,5,6.3,12.2,7.09,10.84,,,白色家电,2025-04-01,https://pdf.dfcfw.com/pdf/H3_AP202504011649873804_1.pdf
38,000333,美的集团,公司信息更新报告：分红比例超预期，2024年业绩完美收官,买入,开源证券,5,6.13,12.8,6.66,11.8,,,白色家电,2025-04-01,https://pdf.dfcfw.com/pdf/H3_AP202504011649834997_1.pdf
39,000333,美的集团,美的集团：2024Q4业绩双位数增长，海外加速，高分红超预期,买入,太平洋,5,6.13,12.54,6.59,11.67,,,白色家电,2025-03-31,https://pdf.dfcfw.com/pdf/H3_AP202503311649700856_1.pdf
40,000333,美的集团,2024年报点评：海外持续拉动增长，大规模回购+分红回报股东,增持,国信证券,5,6.13,12.5,6.63,11.6,,,白色家电,2025-03-31,https://pdf.dfcfw.com/pdf/H3_AP202503311649595017_1.pdf
41,000333,美的集团,美的集团2024年报点评：非经波动，激励积极,买入,华安证券,5,6.0,12.81,6.45,11.92,,,白色家电,2025-03-31,https://pdf.dfcfw.com/pdf/H3_AP202503311649491692_1.pdf
42,000333,美的集团,白电龙头系列：详拆C端海内外及B端未来展望,增持,国信证券,5,6.09,12.0,,,,,白色家电,2025-02-13,https://pdf.dfcfw.com/pdf/H3_AP202502131643053017_1.pdf
43,000333,美的集团,Q3净利YOY+15%，符合预期,增持,群益证券,5,7.04,10.17,,,,,白色家电,2024-11-12,https://pdf.dfcfw.com/pdf/H3_AP202411121640828080_1.pdf
44,000333,美的集团,3季度利润维持双位数增速，外销表现持续亮眼,买入,交银国际证券,5,6.527,11.2,,,,,白色家电,2024-11-05,https://pdf.dfcfw.com/pdf/H3_AP202411051640714370_1.pdf
45,000333,美的集团,2024年三季报点评：收入韧性强劲，盈利稳步提升,增持,国信证券,5,6.08,11.9,,,,,白色家电,2024-11-04,https://pdf.dfcfw.com/pdf/H3_AP202411041640708828_1.pdf
46,000333,美的集团,公司信息更新报告：2024Q3内销份额逆势增长，业绩保持稳健增长,买入,开源证券,5,6.08,11.9,,,,,白色家电,2024-11-04,https://pdf.dfcfw.com/pdf/H3_AP202411041640694148_1.pdf
47,000333,美的集团,2024年三季报点评：多元发展，逆流而上,增持,东莞证券,5,6.02,12.0,,,,,白色家电,2024-11-01,https://pdf.dfcfw.com/pdf/H3_AP202411011640674603_1.pdf
48,000333,美的集团,美的集团：2024Q3业绩双位数提升，海外电商同比高增,买入,太平洋,5,6.21,11.5,,,,,白色家电,2024-11-01,https://pdf.dfcfw.com/pdf/H3_AP202411011640662716_1.pdf
49,000333,美的集团,2024年三季报点评：以旧换新提振内需，海外OBM业务快速增长,买入,西南证券,5,6.11,11.9,,,,,白色家电,2024-10-31,https://pdf.dfcfw.com/pdf/H3_AP202410311640652130_1.pdf
50,000333,美的集团,美的集团2024Q3点评：业绩稳健跑赢行业,买入,华安证券,5,6.13,11.87,,,,,白色家电,2024-10-31,https://pdf.dfcfw.com/pdf/H3_AP202410311640649283_1.pdf
51,000333,美的集团,业绩稳步向上，发展韧性继续显现,买入,中邮证券,5,6.01,12.1,,,,,白色家电,2024-10-31,https://pdf.dfcfw.com/pdf/H3_AP202410311640646089_1.pdf
52,000333,美的集团,业绩表现靓丽，增长再显韧性,买入,中邮证券,5,6.43,9.82,,,,,白色家电,2024-08-22,https://pdf.dfcfw.com/pdf/H3_AP202408221639400313_1.pdf
53,000333,美的集团,2024上半年稳步增长，符合预期,增持,群益证券,5,7.04,8.86,,,,,白色家电,2024-08-22,https://pdf.dfcfw.com/pdf/H3_AP202408221639393018_1.pdf
54,000333,美的集团,公司信息更新报告：2024Q2外销延续高景气度，盈利能力稳中有升,买入,开源证券,5,6.4,9.9,,,,,白色家电,2024-08-21,https://pdf.dfcfw.com/pdf/H3_AP202408211639379870_1.pdf
55,000333,美的集团,美的集团：2024Q2龙头业绩快速提升，海外表现强劲,买入,太平洋,5,6.61,9.54,,,,,白色家电,2024-08-21,https://pdf.dfcfw.com/pdf/H3_AP202408211639377008_1.pdf
56,000333,美的集团,2024年中报点评：海外发展加速，经营质量稳步提升,增持,国信证券,5,6.6,9.5,,,,,白色家电,2024-08-21,https://pdf.dfcfw.com/pdf/H3_AP202408211639370914_1.pdf
57,000333,美的集团,2024年半年报点评：龙头稳健成长，盈利能力稳中有升,买入,西南证券,5,6.55,9.53,,,,,白色家电,2024-08-21,https://pdf.dfcfw.com/pdf/H3_AP202408211639369934_1.pdf
58,000333,美的集团,美的集团2024Q2点评：外销提速，利润超预期,买入,华安证券,5,6.41,9.73,,,,,白色家电,2024-08-20,https://pdf.dfcfw.com/pdf/H3_AP202408201639361710_1.pdf
59,000333,美的集团,公司信息更新报告：C端业务实现较快增长，盈利能力持续提升,买入,开源证券,5,6.49,11.1,,,,,白色家电,2024-05-10,https://pdf.dfcfw.com/pdf/H3_AP202405101632809836_1.pdf
60,000333,美的集团,Q1营收端稳步增长，毛利率同比回升,增持,群益证券,5,7.04,9.91,,,,,白色家电,2024-05-06,https://pdf.dfcfw.com/pdf/H3_AP202405061632477931_1.pdf
61,000333,美的集团,产品结构提升拉动作用明显，OBM业务持续获正面反馈,买入,交银国际证券,5,,,,,,,白色家电,2024-05-05,https://pdf.dfcfw.com/pdf/H3_AP202405051632444822_1.pdf
62,000333,美的集团,美的集团：Q1扣非后净利超预期，海外自有品牌表现亮眼,买入,信达证券,5,6.98,9.77,,,,,白色家电,2024-04-30,https://pdf.dfcfw.com/pdf/H3_AP202404301632052783_1.pdf
63,000333,美的集团,美的集团：2023Q4业绩实现较快增速，H2新能源及工业技术高速发展,买入,太平洋,5,6.86,9.36,,,,,白色家电,2024-04-08,https://pdf.dfcfw.com/pdf/H3_AP202404081630047309_1.pdf
64,000333,美的集团,营收业绩双增，分红历史新高,买入,西南证券,5,6.44,10.03,,,,,白色家电,2024-04-01,https://pdf.dfcfw.com/pdf/H3_AP202404011629196147_1.pdf
65,000333,美的集团,公司信息更新报告：2023年C端稳固B端突破，盈利能力继续提升,买入,开源证券,5,6.5,9.9,,,,,白色家电,2024-03-29,https://pdf.dfcfw.com/pdf/H3_AP202403291629105048_1.pdf
66,000333,美的集团,美的集团23年报点评：经营向好合同负债新高，分红大幅提升,买入,华安证券,5,6.53,9.75,,,,,白色家电,2024-03-29,https://pdf.dfcfw.com/pdf/H3_AP202403291629033062_1.pdf
67,000333,美的集团,高质量稳健发展，业绩再创历史新高,买入,中邮证券,5,6.44,9.89,,,,,白色家电,2024-03-29,https://pdf.dfcfw.com/pdf/H3_AP202403291629023441_1.pdf
68,000333,美的集团,Q4盈利能力改善，分红比例再提升,买入,信达证券,5,6.98,9.25,,,,,白色家电,2024-03-28,https://pdf.dfcfw.com/pdf/H3_AP202403281628559578_1.pdf
69,000333,美的集团,2023年年报点评：合同负债明显增加，经营质量稳步提升,买入,国信证券,5,6.46,9.9,,,,,白色家电,2024-03-28,https://pdf.dfcfw.com/pdf/H3_AP202403281628434247_1.pdf
70,000333,美的集团,毛利率回升，2023年净利稳步增长,增持,群益证券,5,7.03,9.05,,,,,白色家电,2024-03-28,https://pdf.dfcfw.com/pdf/H3_AP202403281628433940_1.pdf
71,000333,美的集团,ToB成长兑现，海外布局加速,买入,华安证券,5,,,,,,,白色家电,2024-02-02,https://pdf.dfcfw.com/pdf/H3_AP202402021620067829_1.pdf
72,000333,美的集团,楼宇科技大会：智能建筑科技前景明朗，美的在蓝海市场独占先机,买入,交银国际证券,5,,,,,,,白色家电,2024-01-19,https://pdf.dfcfw.com/pdf/H3_AP202401191617732564_1.pdf
73,000333,美的集团,公司信息更新报告：Q3业绩稳健增长，ToB第二增长曲线加速拓展,买入,开源证券,5,,,,,,,白色家电,2023-11-16,https://pdf.dfcfw.com/pdf/H3_AP202311161611014912_1.pdf
74,000333,美的集团,2023年三季报点评：多元化布局稳健增长，盈利持续改善,买入,西南证券,5,,,,,,,白色家电,2023-11-02,https://pdf.dfcfw.com/pdf/H3_AP202311021607913178_1.pdf
75,000333,美的集团,2023年三季报点评：稳健经营，B端C端共发展,买入,东莞证券,5,,,,,,,白色家电,2023-11-01,https://pdf.dfcfw.com/pdf/H3_AP202311011607623423_1.pdf
76,000333,美的集团,美的集团：B端业务持续发展，Q3盈利小幅改善,买入,信达证券,5,,,,,,,白色家电,2023-10-31,https://pdf.dfcfw.com/pdf/H3_AP202310311606677400_1.pdf
77,000333,美的集团,公司信息更新报告：Q2业绩稳健增长，To B第二曲线加速拓展,买入,开源证券,5,,,,,,,白色家电,2023-09-05,https://pdf.dfcfw.com/pdf/H3_AP202309051597491538_1.pdf
78,000333,美的集团,单季度收入利润新高，国内收入快速增长,买入,西南证券,5,,,,,,,白色家电,2023-09-05,https://pdf.dfcfw.com/pdf/H3_AP202309051597489913_1.pdf
79,000333,美的集团,B、C端双驱，业绩增长动能充足,增持,华金证券,5,,,,,,,白色家电,2023-09-04,https://pdf.dfcfw.com/pdf/H3_AP202309041597476249_1.pdf
80,000333,美的集团,2023年中报点评：业绩加速增长，经营表现稳健,买入,国信证券,5,,,,,,,白色家电,2023-09-03,https://pdf.dfcfw.com/pdf/H3_AP202309031597465322_1.pdf
81,000333,美的集团,2023年半年报点评：单季度利润破百亿，盈利能力同比优化,买入,东莞证券,5,,,,,,,白色家电,2023-09-01,https://pdf.dfcfw.com/pdf/H3_AP202309011597326663_1.pdf
82,000333,美的集团,营收增长稳健，盈利能力提升,增持,中邮证券,5,,,,,,,白色家电,2023-09-01,https://pdf.dfcfw.com/pdf/H3_AP202309011597312349_1.pdf
83,000333,美的集团,空调及机器人业务快速增长，23H1净利YOY+14%,增持,群益证券,5,,,,,,,白色家电,2023-08-31,https://pdf.dfcfw.com/pdf/H3_AP202308311596917765_1.pdf
84,000333,美的集团,拟发行境外H股，助力深化全球化业务布局,买入,信达证券,5,,,,,,,白色家电,2023-08-10,https://pdf.dfcfw.com/pdf/H3_AP202308101593786296_1.pdf
85,000333,美的集团,业绩稳健增长，毛利率逐季回升,增持,群益证券,5,,,,,,,白色家电,2023-05-12,https://pdf.dfcfw.com/pdf/H3_AP202305121586534957_1.pdf
86,000333,美的集团,公司信息更新报告：B端业务拉动Q1业绩稳增，看好盈利能力持续提升,买入,开源证券,5,,,,,,,白色家电,2023-05-06,https://pdf.dfcfw.com/pdf/H3_AP202305061586325958_1.pdf
87,000333,美的集团,2022年报&2023年一季报点评：一季度经营快速回暖，B端业务持续强劲,买入,国信证券,5,,,,,,,白色家电,2023-05-05,https://pdf.dfcfw.com/pdf/H3_AP202305051586301893_1.pdf
88,000333,美的集团,2022年报暨2023年一季报点评：ToB与ToC并重，盈利能力同比改善,买入,东莞证券,5,,,,,,,白色家电,2023-05-04,https://pdf.dfcfw.com/pdf/H3_AP202305041586256641_1.pdf
89,000333,美的集团,美的集团：盈利能力改善，分红比例提升,买入,信达证券,5,,,,,,,白色家电,2023-05-04,https://pdf.dfcfw.com/pdf/H3_AP202305031586225477_1.pdf
90,000333,美的集团,Q1收入业绩稳健增长，推出员工持股计划,增持,中邮证券,5,,,,,,,白色家电,2023-05-04,https://pdf.dfcfw.com/pdf/H3_AP202305031586224102_1.pdf
91,000333,美的集团,营收稳健增长，Q1盈利能力提升,买入,西南证券,5,,,,,,,白色家电,2023-04-30,https://pdf.dfcfw.com/pdf/H3_AP202305311587375769_1.pdf
92,000333,美的集团,B端增势良好，有望扩张在欧热泵领域影响力,增持,华金证券,5,,,,,,,白色家电,2022-11-02,https://pdf.dfcfw.com/pdf/H3_AP202211021579829201_1.pdf
93,000333,美的集团,公司信息更新报告：B端业务表现亮眼，盈利能力稳定,买入,开源证券,5,,,,,,,白色家电,2022-11-01,https://pdf.dfcfw.com/pdf/H3_AP202211011579713859_1.pdf
94,000333,美的集团,B端增长对冲C端下滑，强化内控提升经营质量,增持,华安证券,5,,,,,,,白色家电,2022-11-01,https://pdf.dfcfw.com/pdf/H3_AP202211011579701375_1.pdf
95,000333,美的集团,B端业务稳健增长，盈利能力持续修复,买入,西南证券,5,,,,,,,白色家电,2022-11-01,https://pdf.dfcfw.com/pdf/H3_AP202211011579692267_1.pdf
96,000333,美的集团,2022年三季报点评：C端业务承压，B端驱动增长,买入,东莞证券,5,,,,,,,白色家电,2022-10-31,https://pdf.dfcfw.com/pdf/H3_AP202210311579662171_1.pdf
97,000333,美的集团,2022年三季报点评：五大事业群稳步发展，盈利能力保持稳定,,中邮证券,5,,,,,,,白色家电,2022-10-31,https://pdf.dfcfw.com/pdf/H3_AP202210301579640362_1.pdf
98,000333,美的集团,业绩稳健，盈利能力改善,买入,信达证券,5,,,,,,,白色家电,2022-10-30,https://pdf.dfcfw.com/pdf/H3_AP202210291579618714_1.pdf
99,000333,美的集团,多重压力下稳健增长，ToB变革发力,增持,群益证券,5,,,,,,,白色家电,2022-09-21,https://pdf.dfcfw.com/pdf/H3_AP202209211578552955_1.pdf
100,000333,美的集团,2022年中报点评：毛利率逆势提升，B端业务增长强劲,买入,国信证券,5,,,,,,,白色家电,2022-09-06,https://pdf.dfcfw.com/pdf/H3_AP202209061578072632_1.pdf
101,000333,美的集团,盈利整体修复，ToB业务保持较快成长,增持,华金证券,5,,,,,,,白色家电,2022-09-02,https://pdf.dfcfw.com/pdf/H3_AP202209021577971809_1.pdf
102,000333,美的集团,2022年中报点评：五大事业群业务稳步开展，二季度盈利能力环比改善,增持,中邮证券,5,,,,,,,白色家电,2022-09-02,https://pdf.dfcfw.com/pdf/H3_AP202209021577971466_1.pdf
103,000333,美的集团,C端结构调整高端化稳步推进，B端多点开花成长性可圈可点,增持,华安证券,5,,,,,,,家电行业,2022-09-02,https://pdf.dfcfw.com/pdf/H3_AP202209021577964757_1.pdf
104,000333,美的集团,公司信息更新报告：2022Q2业绩稳健增长，盈利改善展现经营强韧性,买入,开源证券,5,,,,,,,白色家电,2022-09-01,https://pdf.dfcfw.com/pdf/H3_AP202209011577951756_1.pdf
105,000333,美的集团,Q2盈利能力改善，B端转型业务发力,买入,信达证券,5,,,,,,,白色家电,2022-09-01,https://pdf.dfcfw.com/pdf/H3_AP202209011577938365_1.pdf
106,000333,美的集团,龙头经营稳健，盈利稳步修复,买入,西南证券,5,,,,,,,白色家电,2022-09-01,https://pdf.dfcfw.com/pdf/H3_AP202209011577936135_1.pdf
107,000333,美的集团,2022半年报点评：ToC与ToB并重，启动第二引擎,买入,东莞证券,5,,,,,,,白色家电,2022-08-31,https://pdf.dfcfw.com/pdf/H3_AP202208311577897378_1.pdf
108,000333,美的集团,拟收购科陆电子布局发电侧储能，B端业务发力趋势尽显,买入,信达证券,5,,,,,,,白色家电,2022-05-26,https://pdf.dfcfw.com/pdf/H3_AP202205251567862258_1.pdf
109,000333,美的集团,1Q22 beat and an excellent ToB game plan,买入,招银国际,5,,,,,,,白色家电,2022-05-09,https://pdf.dfcfw.com/pdf/H3_AP202205091564465543_1.pdf
110,000333,美的集团,空调龙头地位稳固，库卡业绩表现亮眼,,亿翰智库,5,,,,,,,白色家电,2022-05-06,https://pdf.dfcfw.com/pdf/H3_AP202205061563854934_1.pdf
111,000333,美的集团,2021年净利YOY+5%，22Q1净利YOY+11%，激励计划保障公司持续稳定发展,增持,群益证券,5,,,,,,,白色家电,2022-05-05,https://pdf.dfcfw.com/pdf/H3_AP202205051563733351_1.pdf
112,000333,美的集团,营收略超预期，龙头价值凸显,增持,华安证券,5,,,,,,,白色家电,2022-05-05,https://pdf.dfcfw.com/pdf/H3_AP202205051563646245_1.pdf
113,000333,美的集团,营收业绩稳定增长，ToB端初发力,买入,信达证券,5,,,,,,,白色家电,2022-05-05,https://pdf.dfcfw.com/pdf/H3_AP202205051563634457_1.pdf
114,000333,美的集团,盈利能力改善，股权激励彰显信心,买入,西南证券,5,,,,,,,白色家电,2022-05-05,https://pdf.dfcfw.com/pdf/H3_AP202205051563617473_1.pdf
115,000333,美的集团,2021年报和2022一季报点评：B端C端业务并行，一季度盈利边际改善,买入,东莞证券,5,,,,,,,白色家电,2022-05-04,https://pdf.dfcfw.com/pdf/H3_AP202205041563489097_1.pdf
116,000333,美的集团,收入增长龙头巩固，构建ToB第二增长曲线显效,增持,华金证券,5,,,,,,,白色家电,2022-05-04,https://pdf.dfcfw.com/pdf/H3_AP202205031563289643_1.pdf
117,000333,美的集团,公司信息更新报告：2022Q1盈利能力环比提升，第二增长曲线推进顺利,买入,开源证券,5,,,,,,,白色家电,2022-05-02,https://pdf.dfcfw.com/pdf/H3_AP202205021562981959_1.pdf
118,000333,美的集团,多轮回购彰显信心，经营稳步向好,买入,西南证券,5,,,,,,,白色家电,2022-03-11,https://pdf.dfcfw.com/pdf/H3_AP202203111551945777_1.pdf
119,000333,美的集团,投建新能源车部件基地，制造价值面临重估,买入,信达证券,5,,,,,,,白色家电,2022-02-17,https://pdf.dfcfw.com/pdf/H3_AP202202171547561498_1.pdf
120,000333,美的集团,毛利率具备改善条件，看好后续业绩恢复,增持,群益证券,5,,,,,,,白色家电,2021-12-30,https://pdf.dfcfw.com/pdf/H3_AP202112301537506537_1.pdf
121,000333,美的集团,美的集团：价值链重塑精进效率，能力圈外移驱动成长,增持,华安证券,5,,,,,,,白色家电,2021-12-30,https://pdf.dfcfw.com/pdf/H3_AP202112301537487202_1.pdf
122,000333,美的集团,结构优化，Q3毛利率表现好于预期,增持,群益证券,5,,,,,,,白色家电,2021-11-05,https://pdf.dfcfw.com/pdf/H3_AP202111051527156383_1.pdf
123,000333,美的集团,价值链重塑精进效率，能力圈外移驱动成长,增持,华安证券,5,,,,,,,白色家电,2021-11-02,https://pdf.dfcfw.com/pdf/H3_AP202111021526668051_1.pdf
124,000333,美的集团,2021三季报点评：毛利率净利率环比持续改善,买入,东莞证券,5,,,,,,,白色家电,2021-11-01,https://pdf.dfcfw.com/pdf/H3_AP202111011526341159_1.pdf
125,000333,美的集团,经营效率持续提高，盈利能力相对稳健,买入,信达证券,5,,,,,,,白色家电,2021-11-01,https://pdf.dfcfw.com/pdf/H3_AP202111011526341037_1.pdf
126,000333,美的集团,公司信息更新报告：Q3业绩符合预期，收入增速和净利率有望双升,买入,开源证券,5,,,,,,,白色家电,2021-10-31,https://pdf.dfcfw.com/pdf/H3_AP202110311526214567_1.pdf
127,000333,美的集团,营收恢复较好，净利端短期承压,增持,群益证券,5,,,,,,,白色家电,2021-09-29,https://pdf.dfcfw.com/pdf/H3_AP202109291519364806_1.pdf
128,000333,美的集团,空调龙头地位稳固，Q2净利润增速连续两年为负,,亿翰智库,5,,,,,,,白色家电,2021-09-03,https://pdf.dfcfw.com/pdf/H3_AP202109031514037761_1.pdf
129,000333,美的集团,中报业绩符合预期，盈利能力短期承压,买入,信达证券,5,,,,,,,白色家电,2021-09-03,https://pdf.dfcfw.com/pdf/H3_AP202109031513994974_1.pdf
130,000333,美的集团,毛利率下滑，盈利能力承压,增持,华鑫证券,5,,,,,,,白色家电,2021-09-02,https://pdf.dfcfw.com/pdf/H3_AP202109021513816972_1.pdf
