序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
1,000858,五粮液,谨慎原则下收入再梳理，动销保障经营基本盘、高股息保障股东回报,买入,中邮证券,3,3.62,26.8,3.88,25.01,4.18,23.24,白酒Ⅱ,2026-05-06,https://pdf.dfcfw.com/pdf/H3_AP202605061821983759_1.pdf
2,000858,五粮液,2025年报及2026一季报点评：审慎务实减包袱，分红回购重回报,买入,东吴证券,3,4.24,22.92,4.72,20.58,5.07,19.16,白酒Ⅱ,2026-05-06,https://pdf.dfcfw.com/pdf/H3_AP202605061821981682_1.pdf
3,000858,五粮液,公司事件点评报告：务实出清向前进，回购注销显稀缺,买入,华鑫证券,3,5.57,17.4,6.3,15.4,7.03,13.8,白酒Ⅱ,2026-05-05,https://pdf.dfcfw.com/pdf/H3_AP202605051821970153_1.pdf
4,000858,五粮液,春节动销表现稳健，营销改革成效有所显现,增持,国信证券,3,6.27,16.3,6.77,15.1,,,白酒Ⅱ,2026-03-08,https://pdf.dfcfw.com/pdf/H3_AP202603081820387149_1.pdf
5,000858,五粮液,明确产品结构主线，强化营销变革,,东兴证券,3,6.97,16.7,7.56,15.39,,,白酒Ⅱ,2026-02-04,https://pdf.dfcfw.com/pdf/H3_AP202602041819771034_1.pdf
6,000858,五粮液,维护渠道利益，强化营销变革,增持,国信证券,3,6.27,17.6,6.77,16.3,,,白酒Ⅱ,2025-12-28,https://pdf.dfcfw.com/pdf/H3_AP202512281809855852_1.pdf
7,000858,五粮液,守正创新，以更强决心深化变革,买入,东吴证券,3,5.81,19.03,6.47,17.08,,,白酒Ⅱ,2025-12-22,https://pdf.dfcfw.com/pdf/H3_AP202512211805356132_1.pdf
8,000858,五粮液,公司信息更新报告：开始正视供需矛盾，期待后续批价企稳,买入,开源证券,3,7.24,15.8,7.82,14.6,,,白酒Ⅱ,2025-12-11,https://pdf.dfcfw.com/pdf/H3_AP202512111798259432_1.pdf
9,000858,五粮液,25Q3报表大幅调整，加速去化渠道库存,,西南证券,3,6.93,16.76,7.61,15.27,,,白酒Ⅱ,2025-11-06,https://pdf.dfcfw.com/pdf/H3_AP202511061776241979_1.pdf
10,000858,五粮液,主动调整、轻装上阵，将高质量发展放在首位,买入,中邮证券,3,6.45,18.46,6.78,17.55,,,白酒Ⅱ,2025-11-04,https://pdf.dfcfw.com/pdf/H3_AP202511041774855161_1.pdf
11,000858,五粮液,五粮液25Q3点评：开始大幅出清,买入,华安证券,3,6.5,18.3,6.95,17.11,,,白酒Ⅱ,2025-11-03,https://pdf.dfcfw.com/pdf/H3_AP202511031774275960_1.pdf
12,000858,五粮液,2025年三季报点评：务实调整，磨砺以须,买入,东吴证券,3,6.37,18.67,7.1,16.76,,,白酒Ⅱ,2025-11-03,https://pdf.dfcfw.com/pdf/H3_AP202511031774249538_1.pdf
13,000858,五粮液,2025年三季报点评：主动释压大幅出清 百亿分红显长期信心,买入,民生证券,3,6.53,18.0,6.94,17.0,,,白酒Ⅱ,2025-11-02,https://pdf.dfcfw.com/pdf/H3_AP202511021773974066_1.pdf
14,000858,五粮液,2025Q3经营加速调整，中期分红规划提振信心,增持,国信证券,3,6.66,17.8,7.18,16.5,,,白酒Ⅱ,2025-11-02,https://pdf.dfcfw.com/pdf/H3_AP202511021773707568_1.pdf
15,000858,五粮液,点评报告：主动去库存以减负蓄能，调整期仍重视股东回报,增持,万联证券,3,7.89,15.01,8.61,13.76,,,白酒Ⅱ,2025-11-01,https://pdf.dfcfw.com/pdf/H3_AP202511011773015992_1.pdf
16,000858,五粮液,五粮液：Q3主动调整致短期承压，蓄力换挡静待风来,增持,太平洋,3,7.01,16.89,7.32,16.19,,,白酒Ⅱ,2025-11-01,https://pdf.dfcfw.com/pdf/H3_AP202511011772998744_1.pdf
17,000858,五粮液,主动降速去化包袱，中期分红落地股息具备支撑,买入,国金证券,3,6.85,17.3,7.66,15.5,,,白酒Ⅱ,2025-10-31,https://pdf.dfcfw.com/pdf/H3_AP202510311772376582_1.pdf
18,000858,五粮液,稳健经营，跨越周期,买入,东兴证券,3,8.76,13.3,9.42,12.36,,,白酒Ⅱ,2025-09-08,https://pdf.dfcfw.com/pdf/H3_AP202509081740385711_1.pdf
19,000858,五粮液,五粮液2025年半年报点评：白酒竞争激烈价格下降，公司销量增长巩固品牌地位,买入,诚通证券,3,8.67,14.8,9.12,14.1,,,白酒Ⅱ,2025-09-04,https://pdf.dfcfw.com/pdf/H3_AP202509041738818807_1.pdf
20,000858,五粮液,公司信息更新报告：增长承压，又到量价平衡关键节点,买入,开源证券,3,8.47,15.2,8.86,14.5,,,白酒Ⅱ,2025-09-03,https://pdf.dfcfw.com/pdf/H3_AP202509031738474857_1.pdf
21,000858,五粮液,公司事件点评报告：营收稳中有增，产品渠道双轮驱动,买入,华鑫证券,3,8.65,14.9,9.13,14.1,,,白酒Ⅱ,2025-09-03,https://pdf.dfcfw.com/pdf/H3_AP202509031738392212_1.pdf
22,000858,五粮液,收入略超预期，现金流表现优异,买入,中邮证券,3,8.48,15.28,9.2,14.08,,,白酒Ⅱ,2025-09-02,https://pdf.dfcfw.com/pdf/H3_AP202509021738064057_1.pdf
23,000858,五粮液,2025H1业绩点评报告：业绩韧性仍存，期待边际改善,增持,万联证券,3,8.64,14.99,9.08,14.27,,,白酒Ⅱ,2025-09-01,https://pdf.dfcfw.com/pdf/H3_AP202509011737740343_1.pdf
24,000858,五粮液,2025年中报点评：25H1收入平稳增长，市场份额稳步提升,买入,西南证券,3,9.01,14.37,9.79,13.23,,,白酒Ⅱ,2025-09-01,https://pdf.dfcfw.com/pdf/H3_AP202509011737729200_1.pdf
25,000858,五粮液,改革推进，彰显韧性,买入,信达证券,3,8.28,15.16,8.81,14.24,,,白酒Ⅱ,2025-09-01,https://pdf.dfcfw.com/pdf/H3_AP202509011737665741_1.pdf
26,000858,五粮液,五粮液25Q2点评：费投力度加大,买入,华安证券,3,8.37,15.48,8.92,14.51,,,白酒Ⅱ,2025-08-31,https://pdf.dfcfw.com/pdf/H3_AP202508311737303511_1.pdf
27,000858,五粮液,2025年半年报点评：宴席带动开瓶率增长 逆周期营收韧性足,买入,民生证券,3,8.22,16.0,8.82,15.0,,,白酒Ⅱ,2025-08-29,https://pdf.dfcfw.com/pdf/H3_AP202508291736614063_1.pdf
28,000858,五粮液,五粮液：业绩彰显韧性，渠道改革初显成效,增持,太平洋,3,8.5,14.76,8.93,14.05,,,白酒Ⅱ,2025-08-29,https://pdf.dfcfw.com/pdf/H3_AP202508291736503496_1.pdf
29,000858,五粮液,2025Q2收入同比正增，产品及渠道端展现韧性,增持,国信证券,3,8.26,15.3,8.85,14.3,,,白酒Ⅱ,2025-08-28,https://pdf.dfcfw.com/pdf/H3_AP202508281736031630_1.pdf
30,000858,五粮液,五粮液2025年中报点评：降速调整，深耕渠道谋长远,买入,国元证券,3,8.34,15.18,8.71,14.54,,,白酒Ⅱ,2025-08-28,https://pdf.dfcfw.com/pdf/H3_AP202508281736008920_1.pdf
31,000858,五粮液,2025年中报点评：迎难而进，务实求变,买入,东吴证券,3,8.23,15.38,8.98,14.1,,,白酒Ⅱ,2025-08-28,https://pdf.dfcfw.com/pdf/H3_AP202508281735945444_1.pdf
32,000858,五粮液,业绩符合预期，渠道改革持续推进,买入,国金证券,3,8.32,15.2,8.88,14.3,,,白酒Ⅱ,2025-08-28,https://pdf.dfcfw.com/pdf/H3_AP202508281735845955_1.pdf
33,000858,五粮液,五粮液2024年年报2025年一季报点评：控货挺价已见成效，品牌地位持续巩固,买入,诚通证券,3,9.22,14.0,9.94,13.0,,,白酒Ⅱ,2025-05-20,https://pdf.dfcfw.com/pdf/H3_AP202505201676065345_1.pdf
34,000858,五粮液,公司事件点评报告：Q1略超预期，期待渠道改革成效,买入,华鑫证券,3,9.26,14.0,10.0,13.0,,,白酒Ⅱ,2025-05-07,https://pdf.dfcfw.com/pdf/H3_AP202505071668872140_1.pdf
35,000858,五粮液,公司信息更新报告：开局状态良好，渠道酝酿积极变化,买入,开源证券,3,8.99,14.4,9.62,13.4,,,白酒Ⅱ,2025-05-02,https://pdf.dfcfw.com/pdf/H3_AP202505021666298335_1.pdf
36,000858,五粮液,24年韧性彰显，25年行稳致远,买入,西南证券,3,9.41,13.72,10.12,12.75,,,白酒Ⅱ,2025-05-02,https://pdf.dfcfw.com/pdf/H3_AP202505021666117040_1.pdf
37,000858,五粮液,2024Q4&2025Q1业绩点评报告：2025年平稳开局，渠道优化助力发展,增持,万联证券,3,9.25,13.96,9.93,12.99,,,白酒Ⅱ,2025-04-28,https://pdf.dfcfw.com/pdf/H3_AP202504281664006220_1.pdf
38,000858,五粮液,五粮液：2024年高质量收官，2025年开年稳健,增持,太平洋,3,9.29,13.89,9.94,12.99,,,白酒Ⅱ,2025-04-28,https://pdf.dfcfw.com/pdf/H3_AP202504281663993213_1.pdf
39,000858,五粮液,2024年年报与2025年一季报点评：2024年稳健收官，2025Q1彰显韧性,买入,东莞证券,3,9.18,14.06,9.8,13.17,,,白酒Ⅱ,2025-04-28,https://pdf.dfcfw.com/pdf/H3_AP202504281663815687_1.pdf
40,000858,五粮液,2024年报及2025一季报点评：24年稳健收官，25年改革风劲,买入,东吴证券,3,9.39,13.74,10.39,12.42,,,白酒Ⅱ,2025-04-28,https://pdf.dfcfw.com/pdf/H3_AP202504281663789680_1.pdf
41,000858,五粮液,增长韧性强劲，25年营收目标预计5%左右,买入,中邮证券,3,9.36,13.79,10.45,12.35,,,白酒Ⅱ,2025-04-28,https://pdf.dfcfw.com/pdf/H3_AP202504281663751624_1.pdf
42,000858,五粮液,2024年年报及2025年一季报点评：24年平稳收官 期待改革显效,买入,民生证券,3,9.16,14.0,9.91,13.0,,,白酒Ⅱ,2025-04-27,https://pdf.dfcfw.com/pdf/H3_AP202504271663483014_1.pdf
43,000858,五粮液,五粮液24年报&25Q1点评：深化改革，稳步见效,买入,华安证券,3,9.18,14.06,9.94,12.98,,,白酒Ⅱ,2025-04-27,https://pdf.dfcfw.com/pdf/H3_AP202504271663412771_1.pdf
44,000858,五粮液,2025年全面推进营销改革，第一季度实现开门红,增持,国信证券,3,9.16,14.1,9.72,13.3,,,白酒Ⅱ,2025-04-27,https://pdf.dfcfw.com/pdf/H3_AP202504271663359063_1.pdf
45,000858,五粮液,业绩高质兑现，关注营销改革破局成效,买入,国金证券,3,9.177,14.06,9.893,13.04,,,白酒Ⅱ,2025-04-27,https://pdf.dfcfw.com/pdf/H3_AP202504271662936119_1.pdf
46,000858,五粮液,营销落地，高质前行,买入,信达证券,3,9.17,14.07,9.87,13.07,,,白酒Ⅱ,2025-04-26,https://pdf.dfcfw.com/pdf/H3_AP202504261662866711_1.pdf
