序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
1,601318,中国平安,营运利润增速好于预期，新业务价值率和投资收益率阶段性承压,买入,华源证券,6,7.94,7.3,9.36,6.2,10.84,5.3,保险Ⅱ,2026-04-30,https://pdf.dfcfw.com/pdf/H3_AP202604301821819661_1.pdf
2,601318,中国平安,NBV高增，综合金融助力,增持,国信证券,6,8.64,6.67,9.31,6.19,9.84,5.85,保险Ⅱ,2026-04-29,https://pdf.dfcfw.com/pdf/H3_AP202604291821772525_1.pdf
3,601318,中国平安,中国平安2026年一季报点评：股市波动拖累业绩，NBV实现较好增长,买入,开源证券,6,8.18,7.27,8.91,6.67,9.73,6.11,保险Ⅱ,2026-04-29,https://pdf.dfcfw.com/pdf/H3_AP202604291821751654_1.pdf
4,601318,中国平安,投资拖累利润表现，NBV高速增长,买入,国金证券,6,8.24,7.0,9.18,6.28,10.1,5.71,保险Ⅱ,2026-04-29,https://pdf.dfcfw.com/pdf/H3_AP202604291821732277_1.pdf
5,601318,中国平安,1Q OPAT a slight beat; positive outlook for full-year NBV and life OPAT acceleration,买入,招银国际,6,8.2,,8.72,,9.44,,保险Ⅱ,2026-04-29,https://pdf.dfcfw.com/pdf/H3_AP202604291821726158_1.pdf
6,601318,中国平安,2026年一季报点评：归母营运利润稳健增长，银保助推NBV延续高增态势,买入,东吴证券,6,8.36,6.89,9.25,6.23,10.29,5.6,保险Ⅱ,2026-04-29,https://pdf.dfcfw.com/pdf/H3_AP202604291821717957_1.pdf
7,601318,中国平安,银保实现跨越式增长，权益投资敞口显著提升,买入,华源证券,6,8.0,7.2,9.22,6.3,10.68,5.4,保险Ⅱ,2026-04-14,https://pdf.dfcfw.com/pdf/H3_AP202604141821200021_1.pdf
8,601318,中国平安,中国平安2025年年报点评：价值稳健增长，金融协同深化,买入,太平洋,6,,,,,,,保险Ⅱ,2026-03-31,https://pdf.dfcfw.com/pdf/H3_AP202603311820892423_1.pdf
9,601318,中国平安,净利润同比+6.5%，股息配置价值凸显,买入,国金证券,6,8.11,7.02,8.79,6.48,9.4,6.06,保险Ⅱ,2026-03-29,https://pdf.dfcfw.com/pdf/H3_AP202603291820841065_1.pdf
10,601318,中国平安,中国平安2025年年报点评：银保渠道亮眼驱动NBV高增，显著增配权益,买入,开源证券,6,8.18,6.96,8.91,6.39,9.73,5.85,保险Ⅱ,2026-03-29,https://pdf.dfcfw.com/pdf/H3_AP202603291820836105_1.pdf
11,601318,中国平安,价值指标增长，分红水平稳健,增持,国信证券,6,8.64,6.58,9.31,6.11,9.84,5.78,保险Ⅱ,2026-03-27,https://pdf.dfcfw.com/pdf/H3_AP202603271820811260_1.pdf
12,601318,中国平安,2025年年报点评：归母营运利润双位数增长，产寿业务均向好,买入,东吴证券,6,8.36,6.79,9.25,6.14,10.29,5.52,保险Ⅱ,2026-03-27,https://pdf.dfcfw.com/pdf/H3_AP202603271820794989_1.pdf
13,601318,中国平安,公司深度研究：负债扩表资产修复，低配红利重估在即,买入,国金证券,6,8.99,6.96,10.08,6.21,,,保险Ⅱ,2026-03-12,https://pdf.dfcfw.com/pdf/H3_AP202603121820516518_1.pdf
14,601318,中国平安,银保业务引领业绩增长，高股息+低估值凸显配置价值,买入,东吴证券,6,8.59,7.77,9.74,6.86,,,保险Ⅱ,2026-02-01,https://pdf.dfcfw.com/pdf/H3_AP202601311818862295_1.pdf
15,601318,中国平安,价值增长，估值提升——“重估平安”系列之二,增持,国信证券,6,8.57,7.68,9.26,7.11,,,保险Ⅱ,2026-01-29,https://pdf.dfcfw.com/pdf/H3_AP202601291818550396_1.pdf
16,601318,中国平安,“重估平安”系列之一：内外资金共振，核心资产回归,增持,国信证券,6,8.57,8.62,9.26,7.98,,,保险Ⅱ,2026-01-08,https://pdf.dfcfw.com/pdf/H3_AP202601081816841031_1.pdf
