序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
145,600036,招商银行,招商银行年报点评：资产质量优异，盈利能力强,买入,太平洋,3,,,,,,,银行Ⅱ,2020-03-23,https://pdf.dfcfw.com/pdf/H3_AP202003231376804294_1.pdf
146,600036,招商银行,盈利维持高增，零售业务持续发力,买入,东兴证券,3,,,,,,,银行Ⅱ,2020-03-23,https://pdf.dfcfw.com/pdf/H3_AP202003231376801792_1.pdf
147,600036,招商银行,招商银行年报点评：分红率提升到33%，理财业务明显改善,买入,民生证券,3,,,,,,,银行Ⅱ,2020-03-23,https://pdf.dfcfw.com/pdf/H3_AP202003231376795502_1.pdf
148,600036,招商银行,ROE保持同业领先，资产质量优于同业,买入,中银国际,3,,,,,,,银行Ⅱ,2020-01-20,https://pdf.dfcfw.com/pdf/H3_AP202001201374364947_1.pdf
149,600036,招商银行,招商银行业绩快报点评：利润增速再创新高，资产质量表现优异,买入,民生证券,3,,,,,,,银行Ⅱ,2020-01-20,https://pdf.dfcfw.com/pdf/H3_AP202001201374364066_1.pdf
150,600036,招商银行,盈利维持高增，资产质量持续优异,买入,东兴证券,3,,,,,,,银行Ⅱ,2020-01-20,https://pdf.dfcfw.com/pdf/H3_AP202001201374360707_1.pdf
151,600036,招商银行,2019年业绩快报点评：最稳定ROE，资产质量比息差更重要,买入,东吴证券,3,,,,,,,银行Ⅱ,2020-01-19,https://pdf.dfcfw.com/pdf/H3_AP202001181374324814_1.pdf
152,600036,招商银行,涨涨涨，市值一度破万亿！再创历史新高！这公司，到底什么情况？（优塾财务估值建模）,,并购优塾,3,,,,,,,银行Ⅱ,2020-01-10,https://pdf.dfcfw.com/pdf/H3_AP202001101373838213_1.pdf
153,600036,招商银行,招商银行：零售优势使新成长仍可期,增持,万和证券,3,,,,,,,银行Ⅱ,2019-12-26,https://pdf.dfcfw.com/pdf/H3_AP201912261372644546_1.pdf
154,600036,招商银行,息差环比收窄，资产质量保持同业领先,买入,中银国际,3,,,,,,,银行Ⅱ,2019-11-04,https://pdf.dfcfw.com/pdf/H3_AP201911041370283078_1.pdf
155,600036,招商银行,招商银行2019年三季报点评：业绩保持高增，资产质量持续改善,买入,东兴证券,3,,,,,,,银行Ⅱ,2019-11-03,https://pdf.dfcfw.com/pdf/H3_AP201911021370234318_1.pdf
156,600036,招商银行,招商银行三季报点评：不良率再创新低，非息收入扩张,买入,民生证券,3,,,,,,,银行Ⅱ,2019-11-01,https://pdf.dfcfw.com/pdf/H3_AP201911011370140390_1.pdf
157,600036,招商银行,招商银行三季报点评：资产质量优异，盈利能力强,买入,太平洋,3,,,,,,,银行Ⅱ,2019-11-01,https://pdf.dfcfw.com/pdf/H3_AP201911011370133704_1.pdf
158,600036,招商银行,点评报告：负债端结构持续调整,增持,万联证券,3,,,,,,,银行Ⅱ,2019-11-01,https://pdf.dfcfw.com/pdf/H3_AP201911011370133387_1.pdf
159,600036,招商银行,三季报点评：资产状况继续向好，手续费及佣金净收入回暖,,群益证券,3,,,,,,,银行Ⅱ,2019-10-31,https://pdf.dfcfw.com/pdf/H3_AP201910311370112307_1.pdf
160,600036,招商银行,招商银行2019年半年报点评：基本面持续优秀，零售贡献依然亮眼,买入,东兴证券,3,,,,,,,银行Ⅱ,2019-08-27,https://pdf.dfcfw.com/pdf/H3_AP201908271345141405_1.pdf
161,600036,招商银行,点评报告：业绩稳健 资产质量总体向好,增持,万联证券,3,,,,,,,银行Ⅱ,2019-08-26,https://pdf.dfcfw.com/pdf/H3_AP201908261345099416_1.pdf
162,600036,招商银行,息差高位回落，资产质量保持优异,买入,中银国际,3,,,,,,,银行Ⅱ,2019-08-26,https://pdf.dfcfw.com/pdf/H3_AP201908261345062555_1.pdf
163,600036,招商银行,上半年业绩预告点评：资产质量进一步改善，存款增速提升,买入,群益证券,3,,,,,,,银行Ⅱ,2019-07-26,https://pdf.dfcfw.com/pdf/H3_AP201907261341435587_1.pdf
164,600036,招商银行,招商银行2019年半年度业绩快报点评：ROE维持高位，资产质量持续优异,买入,东兴证券,3,,,,,,,银行Ⅱ,2019-07-25,https://pdf.dfcfw.com/pdf/H3_AP201907251341395779_1.pdf
