序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
1,600519,贵州茅台,公司事件点评报告：i茅台持续发力，改革效果初显,买入,华鑫证券,18,68.71,20.2,73.01,19.0,78.25,17.7,白酒Ⅱ,2026-05-05,https://pdf.dfcfw.com/pdf/H3_AP202605051821970230_1.pdf
2,600519,贵州茅台,点评报告：业绩稳健增长，直销收入首次超越代理渠道,增持,万联证券,18,68.83,20.39,74.75,18.77,80.44,17.44,白酒Ⅱ,2026-04-29,https://pdf.dfcfw.com/pdf/H3_AP202604291821727471_1.pdf
3,600519,贵州茅台,公司信息更新报告：大单品放量价稳，触底信号明确,买入,开源证券,18,68.02,21.4,71.6,20.4,74.56,19.6,白酒Ⅱ,2026-04-28,https://pdf.dfcfw.com/pdf/H3_AP202604281821686501_1.pdf
4,600519,贵州茅台,渠道重构落地，改革初现成效,买入,山西证券,18,68.19,21.4,71.7,20.3,75.27,19.4,白酒Ⅱ,2026-04-28,https://pdf.dfcfw.com/pdf/H3_AP202604281821665969_1.pdf
5,600519,贵州茅台,收入利润双稳增符合预期，i茅台放量显著,买入,中邮证券,18,68.16,21.4,72.64,20.08,79.8,18.28,白酒Ⅱ,2026-04-28,https://pdf.dfcfw.com/pdf/H3_AP202604281821660055_1.pdf
6,600519,贵州茅台,2026年一季报点评：茅台酒稳健，系列酒重拾增长,买入,西南证券,18,70.67,19.86,76.93,18.24,85.06,16.5,白酒Ⅱ,2026-04-28,https://pdf.dfcfw.com/pdf/H3_AP202604281821659552_1.pdf
7,600519,贵州茅台,转型初见成效，i茅台收入大幅增长,持有,群益证券,18,68.91,20.0,71.98,19.0,74.83,19.0,白酒Ⅱ,2026-04-28,https://pdf.dfcfw.com/pdf/H3_AP202604281821658363_1.pdf
8,600519,贵州茅台,i茅台大放异彩，2026年稳健开局,买入,中银证券,18,68.1,20.7,72.5,19.4,78.3,18.0,白酒Ⅱ,2026-04-27,https://pdf.dfcfw.com/pdf/H3_AP202604271821598041_1.pdf
9,600519,贵州茅台,2026Q1收入稳健增长，市场化改革成效逐步显现,增持,国信证券,18,67.06,21.7,71.46,20.4,77.99,18.7,白酒Ⅱ,2026-04-27,https://pdf.dfcfw.com/pdf/H3_AP202604271821597817_1.pdf
10,600519,贵州茅台,改革成效凸显，i茅台放量激增,买入,信达证券,18,67.12,21.73,70.16,20.79,73.12,19.95,白酒Ⅱ,2026-04-26,https://pdf.dfcfw.com/pdf/H3_AP202604261821593789_1.pdf
11,600519,贵州茅台,2026年一季报点评：锐意改革全面2C，强势开局确立企稳,买入,东吴证券,18,67.91,21.48,71.92,20.28,74.33,19.62,白酒Ⅱ,2026-04-26,https://pdf.dfcfw.com/pdf/H3_AP202604261821593674_1.pdf
12,600519,贵州茅台,业绩符合预期，市场化改革成效斐然,买入,国金证券,18,67.383,21.6,71.401,20.4,75.908,19.2,白酒Ⅱ,2026-04-26,https://pdf.dfcfw.com/pdf/H3_AP202604261821586283_1.pdf
13,600519,贵州茅台,2025年年报点评：茅台酒增速放缓，系列酒全年显著承压,买入,西南证券,18,70.67,19.96,76.93,18.34,85.06,16.59,白酒Ⅱ,2026-04-23,https://pdf.dfcfw.com/pdf/H3_AP202604231821488125_1.pdf
14,600519,贵州茅台,卸下包袱，着眼长期健康发展，2026年开启新篇章,买入,中银证券,18,68.1,20.7,72.5,19.4,78.3,18.0,白酒Ⅱ,2026-04-22,https://pdf.dfcfw.com/pdf/H3_AP202604221821432233_1.pdf
15,600519,贵州茅台,公司信息更新报告：主动调整释放压力，2026年改善趋势明确,买入,开源证券,18,68.02,21.5,71.6,20.4,74.56,19.6,白酒Ⅱ,2026-04-21,https://pdf.dfcfw.com/pdf/H3_AP202604211821393446_1.pdf
16,600519,贵州茅台,2025年释放经营压力，2026年改革破局,增持,国信证券,18,67.6,21.6,72.15,20.3,78.39,18.7,白酒Ⅱ,2026-04-19,https://pdf.dfcfw.com/pdf/H3_AP202604191821320244_1.pdf
17,600519,贵州茅台,面对承压，坚定改革,买入,信达证券,18,69.33,21.1,72.45,20.19,75.52,19.37,白酒Ⅱ,2026-04-17,https://pdf.dfcfw.com/pdf/H3_AP202604171821287518_1.pdf
18,600519,贵州茅台,超预期出清，市场化改革持续推进,买入,国金证券,18,68.517,21.3,72.183,20.3,76.341,19.2,白酒Ⅱ,2026-04-17,https://pdf.dfcfw.com/pdf/H3_AP202604171821286410_1.pdf
19,600519,贵州茅台,推进价格市场化改革，助力2026年稳增长,买入,中邮证券,18,74.5,19.33,80.03,17.99,,,白酒Ⅱ,2026-04-09,https://pdf.dfcfw.com/pdf/H3_AP202604091821085016_1.pdf
20,600519,贵州茅台,公司信息更新报告：提振行业信心，增强业绩保障,买入,开源证券,18,77.75,18.6,82.18,17.6,,,白酒Ⅱ,2026-04-07,https://pdf.dfcfw.com/pdf/H3_AP202604071821047878_1.pdf
21,600519,贵州茅台,淡季提价，渠道结构持续调整，市场化导向明确,买入,中银证券,18,75.8,19.3,80.93,18.0,,,白酒Ⅱ,2026-04-02,https://pdf.dfcfw.com/pdf/H3_AP202604021820980236_1.pdf
22,600519,贵州茅台,首次覆盖报告：推进市场化改革，龙头持续变革转型,买入,爱建证券,18,77.05,18.82,81.01,17.9,,,白酒Ⅱ,2026-04-01,https://pdf.dfcfw.com/pdf/H3_AP202604011820949486_1.pdf
23,600519,贵州茅台,提价点评：价格市场化改革再尝试，提价进一步增厚业绩,买入,东兴证券,18,74.65,19.02,77.91,18.23,,,白酒Ⅱ,2026-04-01,https://pdf.dfcfw.com/pdf/H3_AP202604011820942555_1.pdf
24,600519,贵州茅台,市场化改革下的价格体系重构,买入,信达证券,18,75.52,19.2,78.71,18.42,,,白酒Ⅱ,2026-03-31,https://pdf.dfcfw.com/pdf/H3_AP202603311820926225_1.pdf
25,600519,贵州茅台,飞天茅台调价，市场化改革持续推进,买入,国金证券,18,73.886,19.2,77.489,18.3,,,白酒Ⅱ,2026-03-31,https://pdf.dfcfw.com/pdf/H3_AP202603311820890730_1.pdf
26,600519,贵州茅台,市场化转型专题：量价归位与渠道重构,买入,国金证券,18,73.886,19.6,77.489,18.6,,,白酒Ⅱ,2026-03-23,https://pdf.dfcfw.com/pdf/H3_AP202603231820696581_1.pdf
27,600519,贵州茅台,革故鼎新，与时偕行，再论茅台的护城河与增长潜力,增持,国信证券,18,71.26,20.5,72.78,20.1,,,白酒Ⅱ,2026-03-19,https://pdf.dfcfw.com/pdf/H3_AP202603191820648186_1.pdf
28,600519,贵州茅台,步入2C新时代，降维竞争持续成长,买入,东吴证券,18,71.98,20.29,75.05,19.46,,,白酒Ⅱ,2026-03-17,https://pdf.dfcfw.com/pdf/H3_AP202603171820594543_1.pdf
29,600519,贵州茅台,营销改革复盘专题：笃行不怠，臻于至善,买入,东吴证券,18,71.98,20.01,75.05,19.19,,,白酒Ⅱ,2026-03-03,https://pdf.dfcfw.com/pdf/H3_AP202603031820234429_1.pdf
30,600519,贵州茅台,经营拐点已至，白酒消费新常态强者恒强,买入,华源证券,18,77.85,18.69,84.02,17.32,,,白酒Ⅱ,2026-03-02,https://pdf.dfcfw.com/pdf/H3_AP202603021820195976_1.pdf
31,600519,贵州茅台,市场化运营方案披露，产品渠道运营全方位改革,买入,中邮证券,18,74.47,18.77,79.32,17.63,,,白酒Ⅱ,2026-01-15,https://pdf.dfcfw.com/pdf/H3_AP202601151817046347_1.pdf
32,600519,贵州茅台,2026年推进市场化改革，i茅台春节前加大投放,持有,群益证券,18,74.05,19.0,78.94,18.0,,,白酒Ⅱ,2026-01-09,https://pdf.dfcfw.com/pdf/H3_AP202601091816872559_1.pdf
33,600519,贵州茅台,全面推进市场化转型，解决供需适配问题,增持,国信证券,18,72.04,19.1,73.07,18.8,,,白酒Ⅱ,2026-01-05,https://pdf.dfcfw.com/pdf/H3_AP202601051815430375_1.pdf
34,600519,贵州茅台,2026加速营销转型，多元渠道构建更进一步,买入,东吴证券,18,72.7,19.12,74.17,18.74,,,白酒Ⅱ,2025-12-31,https://pdf.dfcfw.com/pdf/H3_AP202512311811788626_1.pdf
35,600519,贵州茅台,量价调控思路清晰，长期韧性值得信赖,买入,东吴证券,18,72.7,19.54,74.17,19.15,,,白酒Ⅱ,2025-12-14,https://pdf.dfcfw.com/pdf/H3_AP202512141800352882_1.pdf
36,600519,贵州茅台,股东大会强调高质量发展，聚焦渠道稳定性，稳步推进改革,买入,中银证券,18,75.8,18.7,80.93,17.5,,,白酒Ⅱ,2025-12-09,https://pdf.dfcfw.com/pdf/H3_AP202512091796958027_1.pdf
37,600519,贵州茅台,事件点评：多措并举，彰显龙头担当,买入,东莞证券,18,76.74,18.51,81.94,17.33,,,白酒Ⅱ,2025-11-06,https://pdf.dfcfw.com/pdf/H3_AP202511061776269653_1.pdf
38,600519,贵州茅台,收入保持韧性，底部价值凸显,买入,东兴证券,18,75.32,18.97,79.61,17.95,,,白酒Ⅱ,2025-11-05,https://pdf.dfcfw.com/pdf/H3_AP202511051775664554_1.pdf
39,600519,贵州茅台,公司事件点评报告：释放渠道压力，主动降速保障良性经营,买入,华鑫证券,18,77.08,18.5,82.35,17.4,,,白酒Ⅱ,2025-11-05,https://pdf.dfcfw.com/pdf/H3_AP202511051775482920_1.pdf
40,600519,贵州茅台,营收利润基本符合预期，静待需求改善,买入,中邮证券,18,76.53,18.75,82.0,17.5,,,白酒Ⅱ,2025-11-05,https://pdf.dfcfw.com/pdf/H3_AP202511051775482877_1.pdf
41,600519,贵州茅台,经销贡献收入，期待需求逐步改善,买入,山西证券,18,77.71,18.4,84.01,17.0,,,白酒Ⅱ,2025-11-05,https://pdf.dfcfw.com/pdf/H3_AP202511051775448346_1.pdf
42,600519,贵州茅台,2025年三季报点评：外部需求疲软，Q3收入环比降速,买入,西南证券,18,78.4,18.24,84.78,16.87,,,白酒Ⅱ,2025-11-04,https://pdf.dfcfw.com/pdf/H3_AP202511041774862334_1.pdf
43,600519,贵州茅台,公司信息更新报告：三季度收入放缓，蓄力健康长远,买入,开源证券,18,77.75,18.4,82.18,17.4,,,白酒Ⅱ,2025-11-03,https://pdf.dfcfw.com/pdf/H3_AP202511031774433107_1.pdf
44,600519,贵州茅台,贵州茅台25Q3点评：顺应市场，行稳致远,买入,华安证券,18,75.71,18.89,80.84,17.69,,,白酒Ⅱ,2025-11-02,https://pdf.dfcfw.com/pdf/H3_AP202511021773747364_1.pdf
45,600519,贵州茅台,贵州茅台：Q3主动降速，奠定健康发展基石,增持,太平洋,18,76.93,18.61,80.79,17.72,,,白酒Ⅱ,2025-11-02,https://pdf.dfcfw.com/pdf/H3_AP202511021773734683_1.pdf
46,600519,贵州茅台,2025年三季报点评：降速纾压 理性增长,买入,民生证券,18,76.02,19.0,80.14,18.0,,,白酒Ⅱ,2025-10-31,https://pdf.dfcfw.com/pdf/H3_AP202510311772448641_1.pdf
47,600519,贵州茅台,点评报告：三季度茅台酒稳健增长，系列酒承压,增持,万联证券,18,80.61,17.76,87.95,16.28,,,白酒Ⅱ,2025-10-31,https://pdf.dfcfw.com/pdf/H3_AP202510311772357609_1.pdf
